suburb,Property_Price
WATERLOO CORNER,0
WATERVALE,-1
WATTLE PARK,1340000
WATTLE RANGE,-1
WAURALTEE,-1
WAYVILLE,1450000
WELLAND,820000
WELLINGTON,-1
WELLINGTON EAST,-1
WEST BEACH,1290000
WEST CROYDON,1168750
WEST HINDMARSH,982500
WEST LAKES,1270000
WEST LAKES SHORE,1105000
WEST RICHMOND,763500
WESTBOURNE PARK,1437500
WESTERN FLAT,-1
WHITES VALLEY,0
WHITWARTA,-1
WHYALLA,-1
WHYALLA JENKINS,-1
WHYALLA NORRIE,-1
WHYALLA PLAYFORD,-1
WHYALLA STUART,-1
WILD DOG VALLEY,-1
WILLALOOKA,-1
WILLASTON,530000
WILLIAMSTOWN,-1
WILLUNGA,970000
WILLUNGA HILL,-1
WILLUNGA SOUTH,685000
WILLYAROO,-1
WILMINGTON,-1
WINDSOR,-1
WINDSOR GARDENS,792500
WINGFIELD,480000
WINKIE,-1
WIRRABARA,-1
WIRRINA COVE,-1
WISTOW,-1
WOLSELEY,-1
WOODCHESTER,-1
WOODCROFT,748750
WOODFORDE,621000
WOODLEIGH,-1
WOODS POINT,-1
WOODSIDE,882500
WOODVILLE,800000
WOODVILLE GARDENS,745000
WOODVILLE NORTH,750000
WOODVILLE PARK,875000
WOODVILLE SOUTH,905000
WOODVILLE WEST,775000
WOOL BAY,-1
WOOMERA,-1
WORROLONG,-1
WUDINNA,-1
WUNKAR,-1
WYNN VALE,727000
YACKA,-1
YAHL,-1
YALATA,-1
YANKALILLA,-1
YATALA VALE,771250
YATTALUNGA,0
YEELANNA,-1
YONGALA,-1
YORKETOWN,-1
YOUNGHUSBAND,-1
YUMALI,-1
YUNTA,-1
